strategy,model,n_features,downsample_factor,mae_min,rmse_min,r2,critical_recall,train_time_s,infer_time_s,train_energy_kwh,co2_g,model_size_kb,pareto_optimal
reference,Ridge,24,1,175.03633565086866,204.43805320127717,-1.2020455200611297,0.9173553719008265,0.001996278762817383,0.00029277801513671875,8.317828178405762e-09,4.091688990592956e-06,0.6181640625,True
reference,HistGradientBoosting,24,1,119.42469843090382,153.87037379036084,-0.24742038424169133,0.2644628099173554,0.25513219833374023,0.006332874298095703,1.0630508263905842e-06,0.0004673688173294067,398.0263671875,True
reference,RandomForest,24,1,122.10148445533173,157.23990271576807,-0.3026518240395637,0.24380165289256198,3.437811851501465,0.10909509658813477,1.432421604792277e-05,0.00634009616971016,102389.2255859375,False
reference,MLP,24,1,150.18236430805968,181.51711377329977,-0.7359530444580202,0.6239669421487604,1.1332955360412598,0.0032570362091064453,4.722064733505249e-06,0.0020315877228975297,96.5224609375,False
half-rate,Ridge,24,2,154.0896222312158,183.92894350936606,-0.7823909629747652,0.6611570247933884,0.002159595489501953,0.0003383159637451172,8.998314539591471e-09,4.465016722679138e-06,0.6181640625,True
half-rate,HistGradientBoosting,24,2,135.80074516812888,170.55086709764402,-0.5325359909279734,0.5247933884297521,0.25658440589904785,0.006597280502319336,1.0691016912460327e-06,0.00047043726444244384,398.0263671875,False
half-rate,RandomForest,24,2,138.12302818605215,174.5234154006105,-0.6047605001225955,0.3140495867768595,3.411186933517456,0.10222792625427246,1.4213278889656067e-05,0.006280229061841965,102385.4287109375,False
half-rate,MLP,24,2,154.16261558293084,189.24739020184768,-0.8869596664371115,0.8966942148760331,2.921137809753418,0.0024373531341552734,1.2171407540639242e-05,0.005225890603661538,100.5966796875,False
top-10-features,Ridge,10,1,184.44069141094468,211.2778794674298,-1.351856815418873,0.8099173553719008,0.00130462646484375,0.0002574920654296875,5.435943603515625e-09,2.7922868728637696e-06,0.5087890625,True
top-10-features,HistGradientBoosting,10,1,127.17957246310644,160.77627503478269,-0.3619047791868226,0.4793388429752066,0.17789769172668457,0.005684375762939453,7.41240382194519e-07,0.0003281529456377029,368.8349609375,True
top-10-features,RandomForest,10,1,121.66815475110387,155.17437777510196,-0.2686529809088656,0.48760330578512395,1.6329503059387207,0.12994956970214844,6.803959608078003e-06,0.0031511835277080536,102785.3662109375,False
top-10-features,MLP,10,1,122.35686797058452,148.3047011792657,-0.15881112338553738,0.4834710743801653,4.726585388183594,0.001688241958618164,1.9694105784098306e-05,0.008451789113879202,84.521484375,False
