strategy,model,variant,mae_frac,r2,critical_recall,lead_time_min,train_energy_kwh,co2_g,size_kb,n_features
reference,HistGradientBoosting,compressed,0.27096061035120744,-0.48999368091601053,0.3379515098722416,22.888888888888886,4.766738988250692e-07,0.00013902038169316797,102.70442708333333,24
reference,HistGradientBoosting,uncompressed,0.2828679136131797,-0.5927678593906032,0.4001974448315912,23.0,1.8151714574954926e-06,0.0005283566447542176,358.3929036458333,24
reference,MLP,compressed,0.32613369027925976,-1.36195516401121,0.5247880371660859,36.33333333333333,2.4912782370203143e-06,0.0007249460839769418,26.286783854166668,24
reference,MLP,uncompressed,0.5401337065683451,-4.197246541294894,0.29412746806039486,30.055555555555557,1.736983255133922e-06,0.0005054985747692244,96.03125,24
reference,RandomForest,compressed,0.2798653251953593,-0.6176714929232778,0.4011120789779326,23.0,1.1950052497616314e-06,0.0003478826069193924,291.9427083333333,24
reference,RandomForest,uncompressed,0.27979954798207723,-0.6020818230032243,0.4060917537746806,23.0,9.114663208458562e-06,0.002783259254922236,37656.7548828125,24
top-10-features,HistGradientBoosting,compressed,0.2890344865153763,-0.6396385738301616,0.3433885017421603,22.722222222222218,3.8880834633419667e-07,0.00011358369596844077,74.14485677083333,10
top-10-features,HistGradientBoosting,uncompressed,0.3048787786438225,-0.785497366968743,0.4318031358885017,23.0,1.308974024062387e-06,0.00038111205453244135,329.0999348958333,10
top-10-features,MLP,compressed,0.6005833781206186,-5.640468918387586,0.37078252032520326,20.38888888888889,3.3128821907172515e-06,0.0009637770359199289,22.477864583333332,10
top-10-features,MLP,uncompressed,0.3221628149755739,-0.878641536921625,0.3029108594657375,17.61111111111111,1.979589855645979e-06,0.00057604902180964,75.26595052083333,10
top-10-features,RandomForest,compressed,0.3006366138669138,-0.7921137725246634,0.4196080139372822,23.0,6.496658559618033e-07,0.000189206716221073,285.1510416666667,10
top-10-features,RandomForest,uncompressed,0.30455467772780426,-0.8138666580298176,0.43281939605110337,23.0,4.613461844284945e-06,0.0014996398742384831,37656.7548828125,10
