condition,strategy,model,variant,n_features,quant_method,mae_frac,r2,critical_recall,lead_time_min,train_time_s,train_energy_kwh,co2_g,size_kb
1,reference,RandomForest,uncompressed,24,baseline,0.38096514344086174,-1.6588505228583945,0.24571428571428572,7.0,2.8526763916015625,1.877567398663359e-05,0.005589682994278416,74801.9755859375
1,reference,RandomForest,compressed,24,pruned+quantized(payload),0.38313156145555377,-1.693407185086734,0.24571428571428572,7.0,0.3732013702392578,2.2683607122630274e-06,0.000659889606822102,461.234375
1,reference,HistGradientBoosting,uncompressed,24,baseline,0.37037209215488504,-1.508428298682229,0.24571428571428572,7.0,0.40993785858154297,2.49849475577295e-06,0.0007270483600887888,398.0263671875
1,reference,HistGradientBoosting,compressed,24,pruned only(no quant),0.3594518547845158,-1.3840003050798169,0.24571428571428572,7.0,0.10435295104980469,5.151738077615407e-07,0.00015023643967960868,102.73828125
1,reference,MLP,uncompressed,24,baseline,0.6952769057174782,-6.86181785636027,0.02857142857142857,28.166666666666668,0.9314994812011719,3.0667395384682193e-06,0.0008921975064302334,95.7314453125
1,reference,MLP,compressed,24,pruned+quantized(real),0.4664107901832514,-3.3651280918371365,0.6685714285714286,29.0,1.1611814498901367,3.885530918481995e-06,0.00113062060586898,25.1396484375
1,top-10-features,RandomForest,uncompressed,10,baseline,0.38737047692920146,-1.735674169729784,0.24571428571428572,7.0,1.3306293487548828,8.342981818538103e-06,0.0025874750064105298,74801.9755859375
1,top-10-features,RandomForest,compressed,10,pruned+quantized(payload),0.3910125512314999,-1.7833875196866393,0.24571428571428572,7.0,0.2085721492767334,1.0812461339854647e-06,0.0003147132796572347,450.046875
1,top-10-features,HistGradientBoosting,uncompressed,10,baseline,0.3786113347603606,-1.607325861078853,0.24571428571428572,7.0,0.23181962966918945,1.4549202613116056e-06,0.0004236762253758158,368.8349609375
1,top-10-features,HistGradientBoosting,compressed,10,pruned only(no quant),0.3674687307589145,-1.472923592368832,0.24571428571428572,7.0,0.06800985336303711,3.11075451003736e-07,9.089287398951343e-05,74.1708984375
