condition,train_bearing,test_bearing,strategy,model,n_features,downsample_factor,mae_frac,rmse_frac,r2,critical_recall,lead_time_min,data_build_s,train_time_s,infer_time_s,train_energy_kwh,co2_g,model_size_kb
1,Bearing1_1,Bearing1_2,reference,Ridge,24,1,0.6288898562880576,0.6970936364608383,-4.817899973233255,0.0,0.0,0.0016353130340576172,0.0025811195373535156,0.0005359649658203125,1.6403827511120047e-07,4.800514261967817e-05,0.6181640625
1,Bearing1_1,Bearing1_2,reference,HistGradientBoosting,24,1,0.37037209215488504,0.45772943249972836,-1.508428298682229,0.24571428571428572,7.0,0.0016353130340576172,0.24377822875976562,0.02176380157470703,1.4183924306164707e-06,0.0004140552137188185,398.0263671875
1,Bearing1_1,Bearing1_2,reference,RandomForest,24,1,0.38096514344086174,0.4712538967929906,-1.658850522858395,0.24571428571428572,7.0,0.0016353130340576172,2.3891751766204834,0.08732056617736816,1.6156074434176066e-05,0.0047824694122353085,74801.9755859375
1,Bearing1_1,Bearing1_2,reference,MLP,24,1,0.6952769057174782,0.8103441141914984,-6.86181785636027,0.02857142857142857,28.166666666666668,0.0016353130340576172,0.43326687812805176,0.000743865966796875,1.4244288219302454e-06,0.00041450143208518903,95.7314453125
1,Bearing1_1,Bearing1_2,half-rate,Ridge,24,2,0.23771930882457085,0.2943583657721878,-0.03737739438160914,0.005714285714285714,0.0,13.590673208236694,0.0016760826110839844,0.00026154518127441406,8.529945301360808e-10,4.4343122071800635e-07,0.6181640625
1,Bearing1_1,Bearing1_2,half-rate,HistGradientBoosting,24,2,0.32531787041945687,0.38904841970604365,-0.8121382394759602,0.0,0.0,13.590673208236694,0.23685240745544434,0.0030663013458251953,1.415016313295858e-06,0.0004120953888738526,398.0263671875
1,Bearing1_1,Bearing1_2,half-rate,RandomForest,24,2,0.3299501600252224,0.39329053811049286,-0.8518721909564173,0.0,0.0,13.590673208236694,2.3433315753936768,0.08592581748962402,1.6083129209430117e-05,0.004761301566180952,74801.9755859375
1,Bearing1_1,Bearing1_2,half-rate,MLP,24,2,0.25735735190456044,0.3575396873104276,-0.5304971517675232,0.1657142857142857,28.166666666666668,13.590673208236694,0.5447852611541748,0.0006198883056640625,1.7931568353891217e-06,0.000521751000504562,96.0576171875
1,Bearing1_1,Bearing1_2,top-10-features,Ridge,10,1,0.6110693067613965,0.6641339287403588,-4.280746855705097,0.0,0.0,1.696758508682251,0.0014410018920898438,0.0002677440643310547,2.2568995108664957e-09,9.234606671973835e-07,0.5087890625
1,Bearing1_1,Bearing1_2,top-10-features,HistGradientBoosting,10,1,0.3786113347603606,0.4666654506204148,-1.607325861078853,0.24571428571428572,7.0,1.696758508682251,0.18505358695983887,0.0023801326751708984,1.1994960004057987e-06,0.0003502274836121119,368.8349609375
1,Bearing1_1,Bearing1_2,top-10-features,RandomForest,10,1,0.38737047692920146,0.47801351757970667,-1.735674169729784,0.24571428571428572,7.0,1.696758508682251,1.1356027126312256,0.09646010398864746,7.341132936350326e-06,0.002230339171669557,74801.9755859375
1,Bearing1_1,Bearing1_2,top-10-features,MLP,10,1,0.39663423743837,0.47478317779605494,-1.6988245965426323,0.08571428571428572,3.0,1.696758508682251,0.5553474426269531,0.0005867481231689453,1.8340290151801072e-06,0.0005335839094398973,75.3583984375
2,Bearing2_1,Bearing2_2,reference,Ridge,24,1,0.7372605394883271,0.9002698308318265,-8.701453707842834,0.2875,7.5,0.0010464191436767578,0.001210927963256836,0.000263214111328125,1.7121449999358953e-09,9.54650291926169e-07,0.6181640625
2,Bearing2_1,Bearing2_2,reference,HistGradientBoosting,24,1,0.16105641237858914,0.20767435359798217,0.48375345616086585,0.275,7.5,0.0010464191436767578,0.2747828960418701,0.002593994140625,1.842190188058409e-06,0.0005363676832738423,398.0263671875
2,Bearing2_1,Bearing2_2,reference,RandomForest,24,1,0.14211633276340735,0.17936619473917906,0.6149008041366973,0.25,7.5,0.0010464191436767578,0.809431791305542,0.09780383110046387,4.979736183732542e-06,0.0015433959942484365,24362.7412109375
2,Bearing2_1,Bearing2_2,reference,MLP,24,1,0.3457204360029875,0.45804557498171145,-1.5113590377927815,0.13125,7.5,0.0010464191436767578,0.22349834442138672,0.0006072521209716797,7.368376206829298e-07,0.00021449823093395534,96.2783203125
2,Bearing2_1,Bearing2_2,half-rate,Ridge,24,2,0.5329705784995575,0.612883969878636,-3.4962240809807614,0.04375,1.6666666666666667,6.222406625747681,0.0014231204986572266,0.0002548694610595703,8.483874503958886e-10,4.440575403931486e-07,0.6181640625
2,Bearing2_1,Bearing2_2,half-rate,HistGradientBoosting,24,2,0.15283483106050033,0.19835496016161283,0.5290470163054264,0.26875,7.333333333333333,6.222406625747681,0.1947183609008789,0.002674579620361328,1.2395560545207931e-06,0.00036072705541074346,398.0263671875
2,Bearing2_1,Bearing2_2,half-rate,RandomForest,24,2,0.13711667910239797,0.18178926787413055,0.604425849929127,0.275,7.333333333333333,6.222406625747681,0.7860813140869141,0.0882101058959961,4.835228213028917e-06,0.001491330253190036,24362.7412109375
2,Bearing2_1,Bearing2_2,half-rate,MLP,24,2,0.27006101308923913,0.34823942591792345,-0.45160113413325287,0.05,4.0,6.222406625747681,0.11908388137817383,0.0005898475646972656,3.922788941708529e-07,0.00011431491344118413,95.126953125
2,Bearing2_1,Bearing2_2,top-10-features,Ridge,10,1,0.37909999033962494,0.46323257002443324,-1.5685593005928928,0.225,7.333333333333333,0.6526548862457275,0.001092672348022461,0.0002422332763671875,1.8021649189945331e-09,7.444137894927602e-07,0.5087890625
2,Bearing2_1,Bearing2_2,top-10-features,HistGradientBoosting,10,1,0.2129549126543932,0.27881088155941225,0.06951181789405225,0.2875,7.5,0.6526548862457275,0.24863672256469727,0.002758502960205078,1.550612151609885e-06,0.0004514825337624408,368.8349609375
2,Bearing2_1,Bearing2_2,top-10-features,RandomForest,10,1,0.19391673528894762,0.25823965580104147,0.20175300777023597,0.2875,7.5,0.6526548862457275,0.501086950302124,0.1317918300628662,2.55091391774804e-06,0.0008683364932490393,24362.7412109375
2,Bearing2_1,Bearing2_2,top-10-features,MLP,10,1,0.304923910293886,0.3788713733657468,-0.7182051124002022,0.24375,7.5,0.6526548862457275,0.4265422821044922,0.0007565021514892578,1.4046373594348148e-06,0.0004087875694943356,76.7548828125
3,Bearing3_1,Bearing3_2,reference,Ridge,24,1,0.532219020330943,0.577730801981715,-3.0003841095794925,0.9420731707317073,54.5,0.0013344287872314453,0.0013780593872070312,0.0003376007080078125,1.4502271348289555e-08,4.683693443684656e-06,0.6181640625
3,Bearing3_1,Bearing3_2,reference,HistGradientBoosting,24,1,0.317175236306065,0.38251062469566083,-0.7536287356504463,0.6798780487804879,54.5,0.0013344287872314453,0.22131967544555664,0.0037238597869873047,1.542061078754983e-06,0.00044911135791433037,279.1259765625
3,Bearing3_1,Bearing3_2,reference,RandomForest,24,1,0.31631716774196256,0.3834547068071538,-0.7622957502879759,0.7225609756097561,54.5,0.0013344287872314453,0.4867992401123047,0.08858132362365723,2.498586338929665e-06,0.0008134175615220868,13805.5478515625
3,Bearing3_1,Bearing3_2,reference,MLP,24,1,0.5794037779845698,0.6598574587723739,-4.218562729731631,0.7225609756097561,54.5,0.0013344287872314453,0.1537189483642578,0.0009570121765136719,5.0696765778603e-07,0.000147680531309634,96.083984375
3,Bearing3_1,Bearing3_2,half-rate,Ridge,24,2,0.19862033613844263,0.2451325900854932,0.279800598701621,0.7408536585365854,54.5,13.401971340179443,0.0013921260833740234,0.0003600120544433594,1.1368668492487654e-09,5.283709604125322e-07,0.6181640625
3,Bearing3_1,Bearing3_2,half-rate,HistGradientBoosting,24,2,0.2119901040872017,0.26897540044928353,0.13288684796592942,0.6371951219512195,53.833333333333336,13.401971340179443,0.1748652458190918,0.0036873817443847656,1.0273037051636507e-06,0.00029935710011609975,278.5400390625
3,Bearing3_1,Bearing3_2,half-rate,RandomForest,24,2,0.20252183391206005,0.25855192419924905,0.19879030387053775,0.6737804878048781,53.833333333333336,13.401971340179443,0.47676682472229004,0.10717606544494629,2.4583339509433918e-06,0.0008203390280413939,13805.5478515625
3,Bearing3_1,Bearing3_2,half-rate,MLP,24,2,0.2714535459478428,0.32379087359664704,-0.2565502329146456,0.7378048780487805,54.5,13.401971340179443,0.17766094207763672,0.0009031295776367188,5.859259560777494e-07,0.0001706459594430087,96.4384765625
3,Bearing3_1,Bearing3_2,top-10-features,Ridge,10,1,0.6377267374787646,0.6739956694567195,-4.4445859762808,0.9573170731707317,54.5,0.4507923126220703,0.00102996826171875,0.00027108192443847656,1.3513976827567735e-09,7.703793911702872e-07,0.5087890625
3,Bearing3_1,Bearing3_2,top-10-features,HistGradientBoosting,10,1,0.3230700885167137,0.389540475061148,-0.8186780577214281,0.7621951219512195,54.5,0.4507923126220703,0.11153936386108398,0.00377655029296875,6.961277898709992e-07,0.00020335415154324585,249.6298828125
3,Bearing3_1,Bearing3_2,top-10-features,RandomForest,10,1,0.33237682096526366,0.3989581157858872,-0.9076788121299044,0.7652439024390244,54.5,0.4507923126220703,0.4098949432373047,0.09630799293518066,1.6408433733992495e-06,0.0005706798639031083,13805.5478515625
