condition,variant,precision,mae_frac,r2,critical_recall,lead_time_min,train_time_s,train_energy_kwh,co2_g,full_pickle_kb,numeric_payload_kb
1,"RF-reference (300 trees, full depth)",float64 (baseline),0.380965323728683,-1.658851282805105,0.24571428571428572,7.0,3.42500638961792,1.8081955453427068e-05,0.005540262404273506,74801.9755859375,16605.84375
1,"RF-reference (300 trees, full depth)",float32 (quantized),0.38096534115432773,-1.6588512938086448,0.24571428571428572,7.0,3.42500638961792,1.8081955453427068e-05,0.005545550732028108,74801.9755859375,8302.921875
1,"RF-pruned (50 trees, max_depth=10)",float64 (baseline),0.38313156095282497,-1.693407182539124,0.24571428571428572,7.0,0.4113037586212158,2.4432515805761934e-06,0.0007107821450181944,4164.8251953125,922.46875
1,"RF-pruned (50 trees, max_depth=10)",float32 (quantized),0.38313156145555377,-1.693407185086734,0.24571428571428572,7.0,0.4113037586212158,2.4432515805761934e-06,0.0007108028458070392,4164.8251953125,461.234375
2,"RF-reference (300 trees, full depth)",float64 (baseline),0.1421177069642797,0.6148934899499866,0.25,7.5,0.9850063323974609,6.02021635251741e-06,0.0019954300203340616,24362.7412109375,5397.125
2,"RF-reference (300 trees, full depth)",float32 (quantized),0.14211868246204315,0.6148885730682964,0.25,7.5,0.9850063323974609,6.02021635251741e-06,0.002002063948511971,24362.7412109375,2698.5625
2,"RF-pruned (50 trees, max_depth=10)",float64 (baseline),0.13748954788613005,0.6259935974786045,0.2625,7.5,0.1518571376800537,8.231378528260558e-07,0.00023970210651628722,2055.23046875,453.71875
2,"RF-pruned (50 trees, max_depth=10)",float32 (quantized),0.13748836303187564,0.6259997418641153,0.2625,7.5,0.1518571376800537,8.231378528260558e-07,0.0002396498370316573,2055.23046875,226.859375
3,"RF-reference (300 trees, full depth)",float64 (baseline),0.31631662500735663,-0.7622939129864601,0.7225609756097561,54.5,0.6027319431304932,3.0632599006309224e-06,0.0011891392453201176,13805.5478515625,3051.375
3,"RF-reference (300 trees, full depth)",float32 (quantized),0.31631535215482737,-0.7622799965574543,0.7225609756097561,54.5,0.6027319431304932,3.0632599006309224e-06,0.001192792302919462,13805.5478515625,1525.6875
3,"RF-pruned (50 trees, max_depth=10)",float64 (baseline),0.31897483632336104,-0.7855935140845538,0.6951219512195121,54.5,0.10617280006408691,4.652814385237117e-07,0.0001356609628035973,1703.0966796875,375.46875
3,"RF-pruned (50 trees, max_depth=10)",float32 (quantized),0.3189760510986485,-0.7856070355472149,0.6951219512195121,54.5,0.10617280006408691,4.652814385237117e-07,0.00013556209046648339,1703.0966796875,187.734375
